school,applicants,admitted,accept_rate
Carleton College,7324,1401,19.1
Macalester College,6598,2129,32.3
St Olaf College,5694,2705,47.5
Crown College,825,411,49.8
Metropolitan State University,1092,614,56.2
University of Minnesota-Morris,3265,1852,56.7
University of Minnesota-Twin Cities (U of M),40673,23076,56.7
Minneapolis College of Art and Design (MCAD),747,437,58.5
University of Minnesota-Rochester,1121,674,60.1
Minnesota State University-Mankato (msu),10349,6490,62.7
Southwest Minnesota State University (SMSU),2245,1442,64.2
Bemidji State University (BSU),3404,2211,65
Minnesota State University Moorhead (MSU Moorhead),3963,2591,65.4
St Catherine University (St. Kate),2458,1655,67.3
Hamline University,4602,3117,67.7
Winona State University (WSU),7663,5204,67.9
University of Minnesota-Crookston,1182,809,68.4
Concordia College at Moorhead,3395,2321,68.4
Gustavus Adolphus College,4957,3432,69.2
Bethany Lutheran College (BLC),636,462,72.6
University of Minnesota-Duluth (UMD),8614,6518,75.7
The College of Saint Scholastica (CSS),1956,1494,76.4
Augsburg College,2643,2013,76.2
Saint Johns University,1746,1367,78.3
Bethel University,2435,1912,78.5
College of Saint Benedict (Saint Benedict),2052,1651,80.5
University of St. Thomas (UST),7232,5824,80.5
Martin Luther College (MLC),266,223,83.8
North Central University,653,587,89.9
Saint Cloud State University (SCSU),5171,4656,90
Northwestern College,1243,1141,91.8
Saint Mary's University of Minnesota (SMU),1498,1378,92
Dunwoody College of Technology,448,434,96.9
